word,Lg10WF,AoA,Prevalence,SemD,Conc.M
first,4.6322,4.094931897,2.33,2.34,2.76
again,4.6067,4.313523788,2.43,2.14,2
nothing,4.6388,5.347923182,2.32,1.99,2.21
these,4.6637,4.848404688,2.44,2.36,2.03
put,4.6258,4.351097292,2.18,2.19,2.5
please,4.7493,3.50383871,2.32,1.69,1.64
thought,4.6152,5.098973125,2.58,1.95,1.97
better,4.6074,5.054075313,2.44,2.16,1.91
still,4.6045,5.484873438,2.43,2.24,3.46
thank,4.7549,4.480448065,2.12,1.6,3
yeah,5.1826,,,1.18,1.89
than,4.5761,4.458080645,2.06,2.34,1.69
help,4.6719,4.461025469,2.58,2.16,2.56
other,4.5741,5.751220833,2.25,2.37,2.04
maybe,4.6744,5.187837879,2.25,1.68,1.52
last,4.5668,5.328141129,2.34,2.22,3.04
day,4.6117,3.59024172,2.33,2.16,3.92
those,4.5844,5.06986,2.34,2.32,2.32
wait,4.6268,4.8040975,2.12,1.88,2.68
find,4.6272,5.08652125,2.25,2.18,2.63
work,4.6096,5.493226452,2.34,2.23,3.48
does,4.5315,5.019301667,2.32,2.2,2.24
after,4.5417,4.561557273,2.32,2.29,2.12
talk,4.6395,3.837132708,2.44,1.85,4.07
life,4.6088,5.66615,2.44,2.13,2.69
long,4.537,5.052004375,2.32,2.27,3.18
away,4.5714,4.850622121,2.43,2.06,2.23
keep,4.5545,4.82688,2.44,2.1,2.37
around,4.5749,5.711051061,2.33,2.2,1.96
call,4.6428,4.620230938,2.44,2.08,4
doesn,4.511,,,,
won,4.588,4.8702,2.34,1.79,2.96
hey,4.9449,,,1.42,1.63
told,4.5524,4.405991667,2.58,1.92,2.31
ever,4.5584,5.648831212,2.33,2.06,1.48
always,4.524,5.327244697,2.25,2.14,1.71
things,4.5482,4.317719583,2.58,1.95,
great,4.6219,5.171485484,2.33,2.2,1.81
home,4.5965,4.031331042,2.44,2.08,4.11
made,4.4568,4.759424167,2.43,2.31,2.52
stop,4.5572,3.478353333,2.24,1.99,3.68
believe,4.5036,6.20374101,2.58,2.03,1.55
night,4.6451,3.832476344,2.33,1.85,4.52
love,4.7548,4.821101371,2.44,1.63,2.07
everything,4.5237,4.86559,2.25,1.92,2.3
another,4.4145,4.64812,2.42,2.29,2.69
kind,4.4789,4.90998,2.24,2.06,2.07
isn,4.4755,,,,
place,4.4877,5.431385726,2.35,2.27,3.48
feel,4.505,4.80646,2.32,1.93,2.28
hear,4.4522,4.25782914,2.17,1.83,3.66
wrong,4.4262,4.419087097,2.19,2.01,1.83
new,4.5672,4.325429355,2.42,2.34,2.81
big,4.5419,2.839965625,2.43,1.95,3.66
bad,4.4441,2.642091042,2.58,1.98,1.68
every,4.4473,5.253507273,2.44,2.21,2.28
through,4.4476,6.71982,2.34,2.25,2.9
their,4.5239,5.478817188,2.25,2.36,3.34
leave,4.4563,5.594796875,2.58,2.01,2.53
lot,4.4634,4.825096774,2.45,1.93,3.7
coming,4.4294,4.043871458,2.58,2.04,2.07
enough,4.4077,6.197018182,2.43,2.13,1.33
must,4.5522,5.034231458,2.42,2.23,2.13
thanks,4.5023,3.53,2.44,1.84,2.15
fine,4.4843,6.446103542,2.43,2.03,2.61
might,4.4205,5.40822,2.23,2.18,2.32
getting,4.393,3.826673333,2.42,1.97,2.07
remember,4.442,5.840895,2.27,1.91,2.41
nice,4.5202,3.986746667,2.58,1.64,2.18
being,4.3941,4.63137,2.32,2.34,1.93
try,4.3859,4.263827031,2.43,2.02,2.22
wanted,4.4085,4.081630833,2.3,1.82,
name,4.515,3.767508333,2.29,2.05,3.5
done,4.3934,5.019301667,2.24,2.14,2
else,4.36,6.682403125,2.31,1.97,1.63
gonna,5.0078,,,1.08,
ask,4.3917,3.389583333,2.43,1.88,2.52
left,4.3928,5.594796875,2.12,2.16,3.7
next,4.3634,5.122024677,2.44,2.18,2.56
wouldn,4.3734,,,,
listen,4.4438,4.77983899,2.43,1.73,3.47
years,4.4625,5.518340625,2.26,2.28,
happened,4.3979,5.840436768,2.58,1.89,
talking,4.4046,3.837132708,2.43,1.85,3.72
care,4.3936,5.72825871,2.42,1.84,2.33
god,4.6633,3.61853125,2.43,1.48,2.07
own,4.3696,5.636977188,2.44,2.23,1.96
three,4.4418,2.937933226,2.34,2.33,3.62
old,4.4922,4.154953763,2.43,2.14,2.72
came,4.3738,4.043871458,2.43,2.04,1.85
mind,4.393,5.878656667,2.58,1.91,2.5
looking,4.3437,4.208654844,2.34,2.02,3.53
trying,4.3589,4.263827031,2.58,1.96,2.11
stay,4.4199,4.926855591,2.33,1.93,2.15
understand,4.391,6.77319,2.23,1.97,2.28
yourself,4.3454,5.354974394,2.58,1.6,4.39
someone,4.357,5.630739394,2.33,1.85,3.71
wasn,4.3421,,,,
same,4.3279,4.51925,2.32,2.33,2.64
guess,4.3646,5.635094792,2.58,1.72,2.28
went,4.322,3.365325484,2.19,1.95,2.25
best,4.3144,4.588695313,2.27,2.24,1.6
may,4.4163,5.40822,2.44,2.35,3
course,4.3953,8.275320313,2.32,2.14,3.82
which,4.3863,5.680345938,2.58,2.39,1.54
show,4.3963,5.319487292,2.33,2.21,3.97
guy,4.5899,5.560155208,2.58,1.46,4.68
today,4.3449,4.354772424,2.44,2.06,2.57
while,4.251,6.381867813,2.43,2.32,1.55
seen,4.293,3.545004792,2.58,2.24,2.96
heard,4.2961,4.25782914,2.17,1.84,
without,4.2574,6.81998803,2.44,2.29,2.15
hold,4.3478,4.983896875,2.58,2.15,3.68
real,4.3538,5.33285,2.1,2.17,2.5
use,4.244,5.236355,2.58,2.28,2.78
together,4.2912,5.20168,2.34,2.23,2.74
whole,4.2936,6.075825,2.18,2.23,3.25
haven,4.2752,10.17131515,2.35,1.88,3.38
saw,4.3123,3.545004792,2.32,1.94,4.46
hello,4.4751,1.990375758,2.43,1.46,2.8
once,4.2453,4.972281129,2.58,2.21,2.74
took,4.2419,4.625563333,2.18,2.05,2.61
yet,4.2413,6.045934375,2.58,2.22,1.39
ready,4.2962,5.242048485,2.32,2.06,2.07
found,4.3053,5.08652125,2.34,2.23,2.53
idea,4.2627,6.272086667,2.32,2.1,1.61
already,4.2108,,,2.29,1.64
pretty,4.3011,4.983886818,2.58,1.78,2.4
start,4.2392,5.008958172,2.58,2.17,2.71
myself,4.2423,4.464415909,2.44,1.55,2.97
used,4.2443,5.236355,2.32,2.32,2.64
okay,5.01,4.694279697,2.43,1.38,1.89
many,4.2632,6.035439091,2.32,2.33,2.37
knew,4.2746,4.685077957,2.43,1.72,1.63
head,4.2776,4.737760565,2.58,1.96,4.75
since,4.2059,6.689235323,2.33,2.32,1.38
couldn,4.239,,,,
room,4.3506,4.4093,2.33,1.78,4.79
matter,4.2765,7.680113182,2.17,2.14,3.54
world,4.3658,5.5091,2.35,2.17,4.36
friend,4.3301,3.824455054,2.43,1.76,3.07
mr,4.7789,,,1.75,
girl,4.4535,3.618905376,2.44,1.58,4.85
bring,4.2224,4.45401125,2.43,2.22,2.55
most,4.2526,5.085421774,2.58,2.36,2.38
boy,4.4317,2.99590625,2.31,1.61,4.76
until,4.1883,6.196324545,2.16,2.25,1.33
hope,4.2136,5.928156042,2.18,2.06,1.25
both,4.1779,4.453317813,2.31,2.38,2.97
called,4.2391,4.620230938,2.44,2.23,
hard,4.1959,4.639054375,2.43,2.08,3.76
guys,4.5078,5.560155208,2.58,1.4,
minute,4.2845,5.660633409,2.58,1.86,3.04
run,4.2523,4.044265625,2.44,2.18,4.31
looks,4.201,4.208654844,2.58,1.96,2.7
morning,4.3501,3.775142727,2.58,1.77,3.44
live,4.2449,5.62794875,2.43,1.99,3.57
excuse,4.2736,6.635369697,2.33,1.82,2.29
move,4.3289,4.869078925,2.43,2.14,3.25
house,4.4185,3.241765,2.31,2.01,5
wants,4.1947,4.081630833,2.3,1.9,
few,4.1874,5.642992581,2.23,2.22,2.48
hi,4.4543,,,1.72,2.67
meet,4.2545,5.623406989,2.44,2.16,3
job,4.3235,5.520166559,2.43,1.9,3.19
later,4.1729,6.064185606,2.24,2.21,1.8
turn,4.194,4.77524,2.23,2.21,3.44
dead,4.3598,5.17646875,2.44,1.8,4.07
says,4.2137,4.019379792,2.24,1.83,
woman,4.3457,4.964725253,2.43,1.73,4.46
alone,4.1969,5.366266667,2.33,2.08,2.86
gone,4.18,3.365325484,2.45,1.9,2.04
watch,4.2261,4.87116129,2.19,1.89,4.61
having,4.1689,4.149603333,2.34,2.26,
problem,4.2262,6.479841414,2.26,2.13,2.68
ago,4.1641,6.116121212,2.1,2.05,1.42
open,4.2133,4.385054545,2.58,2.16,3.21
hell,4.3804,5.829616667,2.58,1.6,2.41
saying,4.1725,4.019379792,2.43,1.95,2.58
somebody,4.2448,5.35984,2.43,1.66,3.79
days,4.1929,3.59024172,2.34,2.13,3.36
probably,4.1561,,,2.17,1.73
tonight,4.3232,4.983563636,2.44,1.58,2.93
second,4.1618,5.204005985,2.31,2.32,3.3
worry,4.1655,6.933906364,2.24,1.78,2.55
thinking,4.157,5.098973125,2.33,1.93,1.96
kill,4.3633,5.84204379,2.24,1.68,3.9
everybody,4.2444,5.02375,2.44,1.78,3.13
lost,4.1454,5.375926094,2.43,2.14,2.67
end,4.1323,4.212405833,2.44,2.26,3.14
happen,4.1129,5.840436768,2.58,1.97,1.78
forget,4.1502,5.528261111,2.44,1.88,2.04
tomorrow,4.2339,4.64812,2.31,1.72,2.04
money,4.5143,4.786964646,2.43,1.96,4.54
makes,4.0898,4.759424167,2.24,2.14,
taking,4.0886,4.625563333,2.58,2.26,2.79
such,4.1718,6.399830645,2.34,2.35,1.48
huh,4.3493,,,1.28,1.68
face,4.1687,3.531377097,2.14,1.91,4.87
part,4.1251,5.799223125,2.24,2.35,3.29
soon,4.1186,4.520285313,2.58,2.12,1.79
sit,4.2009,3.402046875,2.34,1.8,4.8
late,4.1385,5.202935376,2.35,2.16,2.6
under,4.1258,5.20168,2.35,2.37,3.45
whatever,4.0999,7.19845,2.26,2.1,1.46
anyone,4.1146,4.82605,2.32,2,2.7
hand,4.1542,2.93841129,2.26,2.06,4.72
mother,4.3888,2.610290909,2.33,1.59,4.6
happy,4.2303,3.671991717,2.58,1.91,2.56
gave,4.0944,4.096547083,2.17,2.05,2.38
actually,4.2159,6.98098,2.35,2.09,1.37
friends,4.1925,3.824455054,2.43,1.87,
exactly,4.1006,7.47523,2.43,2.02,2.11
each,4.1112,5.32515625,2.25,2.28,2.03
knows,4.0967,4.685077957,2.58,1.88,
aren,4.0773,,,,
supposed,4.1094,8.67,2.43,1.95,1.6
father,4.4515,3.330667172,2.58,1.59,4.52
miss,4.3775,5.540846774,2.17,1.56,2.54
stuff,4.1946,5.638596667,2.24,1.65,3.13
mine,4.1072,3.653762742,2.44,1.68,3.56
making,4.055,4.759424167,2.58,2.28,2.34
least,4.0252,3.9664,2.42,2.28,2.36
easy,4.132,5.120016869,2.32,2.14,2.07
working,4.1064,5.493226452,2.33,2.13,3.48
anyway,4.0851,5.47846,2.06,1.68,1.68
chance,4.09,7.100845806,2.45,2.08,1.64
play,4.2572,3.710483594,2.58,1.91,3.24
family,4.2569,4.54,2.33,1.96,4.23
TRUE,4.1113,,,,1.7
gets,4.0556,3.826673333,2.26,1.9,
comes,4.0666,4.043871458,2.25,2.09,2.27
check,4.1532,6.407641875,2.35,1.91,4.11
door,4.1731,3.7513,2.24,1.6,4.81
change,4.0885,5.403321042,2.23,2.18,2.89
means,4.0468,5.23767875,2.34,2.26,1.93
deal,4.1249,6.986921048,2.44,2.17,3.1
gotta,4.4125,,,1.2,
minutes,4.1438,5.660633409,2.58,1.83,
five,4.1631,3.491394516,2.43,2.2,3.87
point,4.0815,5.383026667,2.58,2.21,3.39
far,4.0515,4.757838438,2.33,2.25,2.71
business,4.2141,8.193511111,2.43,2,3.28
set,4.0721,6.157656667,2.32,2.32,3.41
close,4.0489,4.949794531,2.44,2.22,3.2
times,4.0501,6.7,2.43,2.25,2.07
goes,4.0446,3.365325484,2.44,2.08,2.19
car,4.3916,3.682907292,2.32,1.69,4.89
word,4.0797,4.562108125,2.33,1.86,3.56
son,4.3212,4.182748542,2.42,1.71,4.14
nobody,4.1335,,,1.81,2.32
rest,4.0359,5.008575625,2.25,2.18,3.03
sir,4.6919,5.847578125,2.26,1.63,3.1
hurt,4.0992,4.379711855,2.42,1.59,3.61
everyone,4.0908,5.10283,2.43,1.96,2.92
asked,4.0426,3.389583333,2.43,1.92,
hit,4.1469,4.202716129,2.34,1.83,4.11
baby,4.4146,3.137044141,2.25,1.42,5
bit,4.0787,6.47,2.43,1.78,3.27
yours,4.0188,4.86559,2.18,1.46,2.14
hands,4.0815,2.93841129,2.26,1.91,
crazy,4.1426,5.915578788,2.33,1.67,2.37
week,4.0851,5.481370968,2.35,2.03,3.48
break,4.0522,5.935415269,2.44,2.15,3.71
men,4.279,3.193907708,2.25,1.91,4.75
couple,4.0567,6.133825354,2.19,1.87,3.93
either,3.9689,6.521621061,2.58,2.32,1.81
year,4.1515,5.518340625,2.26,2.24,3.25
waiting,4.0321,4.8040975,2.58,1.84,2.7
beautiful,4.1543,5.411415,2.43,1.71,2.16
wish,4.0789,4.496367742,2.34,2.07,1.77
almost,3.9938,5.97976303,2.43,2.2,1.66
cause,4.199,6.9516925,2.44,2.13,2.43
afraid,4.1015,4.806754141,2.33,1.65,2.7
cut,4.0689,4.480741935,2.16,2.1,4.55
pay,4.1135,5.758620625,2.43,1.98,3.54
four,4.1155,3.303579516,2.24,2.25,3.37
stand,4.0621,4.717653226,2.25,2.11,4.16
case,4.1585,6.4488625,2.26,2.24,3.93
important,4.0248,5.79,2.43,2.26,2.14
tried,3.9791,4.263827031,2.45,1.94,2.07
anybody,4.0635,6.1914,2.24,1.77,2.67
different,4.0289,5.64739,2.58,2.25,1.97
hours,4.0398,5.366575376,2.44,1.97,
walk,4.0418,3.982671875,2.25,1.76,4.07
telling,3.9882,4.405991667,2.25,1.83,2.45
eat,4.1088,2.906082083,2.32,1.6,4.44
reason,3.9938,7.517600455,2.43,2.14,1.93
shut,4.1289,4.762716667,2.43,1.66,3.38
inside,4.0325,4.62835,2.58,1.9,3.67
wife,4.2503,5.723571828,2.43,1.72,4.13
trouble,4.057,5.417133182,2.58,1.97,2.25
eyes,4.0531,3.50312,2.12,1.66,4.85
also,4.0224,5.267026212,2.58,2.41,1.83
hate,4.0392,5.474404113,2.43,1.6,1.97
read,4.09,4.11,2.32,1.88,3.56
behind,3.9815,4.982973434,2.25,2.03,3.48
started,3.9808,5.008958172,2.58,2,
ahead,4.005,6.38868197,2.58,2.01,3
pick,4.0051,5.133979113,2.43,1.99,3.82
side,4.0106,5.281695161,2.44,2.07,3.68
person,4.0357,5.175202222,2.44,1.91,4.72
damn,4.1602,9.278227708,2.45,1.4,2
half,4.0068,5.213101613,2.44,2.18,3.27
young,4.0935,5.136783011,2.58,2,3.16
brought,3.9438,4.45401125,2.23,2.15,2.23
sleep,4.0654,3.140803333,2.44,1.4,4.44
funny,4.0464,4.472338485,2.58,1.53,2.5
die,4.1245,5.110116344,2.33,1.79,3.07
between,3.951,5.435979697,2.33,2.38,2.72
fun,4.0796,3.608710938,2.43,1.76,1.97
kid,4.238,4.487579462,2.27,1.48,4.56
though,3.9675,6.917572188,2.58,2.17,1.2
wanna,4.4116,,,1.03,
front,3.9666,4.616325,2.43,1.98,3.77
question,4.0051,5.855686869,2.33,2.07,3.36
heart,4.0953,5.2119,2.58,1.89,4.52
seems,3.9318,6.637007813,2.25,2.11,
number,4.0895,4.130839394,2.58,2.32,3.3
line,4.0219,5.24033871,2.32,2.11,4.5
school,4.2302,4.241165625,2.44,1.76,4.79
against,4.0124,6.143373939,2.33,2.24,1.8
anymore,3.9822,,,1.54,2.04
kids,4.1863,4.487579462,2.44,1.48,4.61
phone,4.1385,4.37255,2.42,1.53,4.86
welcome,3.961,5.923602879,2.58,1.98,2.07
met,3.9894,5.623406989,2.05,2.03,2.58
shouldn,3.9076,,,,
high,3.9976,4.525095,2.58,2.31,3.46
outside,3.9381,4.58881,2.33,2.19,4.25
killed,4.1701,5.84204379,2.24,1.72,
sometimes,3.9605,5.41915,2.58,2.05,1.77
moment,3.9795,7.326329293,2.43,1.9,1.61
needs,3.9138,4.629733656,2.58,2.1,2.25
fact,3.9446,6.840706667,2.58,2.21,2.72
sounds,3.9015,4.925041719,2.11,1.69,
drink,4.101,3.570535469,2.25,1.59,4.76
dad,4.4128,2.303866667,2.58,1.14,4.29
six,4.0076,3.576093438,2.32,2.16,3.43
answer,3.9536,5.540284848,2.44,1.95,2.89
feeling,3.9334,6.253579798,2.44,1.83,1.68
hour,3.9179,5.366575376,2.44,1.94,3.1
full,3.9301,4.498140625,2.43,2.31,3.59
along,3.9699,6.098491364,2.24,2.09,2.14
glad,3.9416,5.7213,2.44,1.7,2.36
speak,3.9799,4.513748958,2.35,1.88,3.7
quite,4.0142,7.43717875,2.58,2.08,1.72
buy,3.9919,5.008200968,2.22,1.91,3.35
able,3.9115,6.604859773,2.44,2.23,2.38
death,4.0434,5.905962796,2.35,1.84,3.73
free,3.9569,5.531370968,2.58,2.2,2.04
stupid,3.9734,5.116335253,2.44,1.57,1.75
running,3.9061,4.044265625,2.25,2.12,4.27
story,4.0516,3.552744747,2.33,1.77,3.3
lose,3.9234,5.375926094,2.44,2.11,2.25
send,3.9624,5.846357069,2.28,1.92,2.7
trust,3.9585,6.843281719,2.43,1.69,2.04
shot,4.0645,5.970139844,2.45,1.66,4.44
hot,3.986,3.213689677,2.26,1.79,4.31
truth,3.9913,5.14693,2.58,1.76,1.96
honey,4.1854,5.277492929,2.44,1.61,4.88
clear,3.9427,5.690575,2.35,2.28,3.55
till,3.9296,7.846085938,1.78,1.7,4
lady,4.0442,4.344326263,2.43,1.62,4.33
water,4.0599,2.842988636,2.58,1.82,5
town,4.1019,5.47843125,2.44,1.85,4.64
bed,3.9797,3.013898925,2.35,1.54,5
living,3.9022,5.62794875,2.32,1.99,3.04
seem,3.8532,6.637007813,2.25,2.1,1.75
mom,4.3415,2.22,1.7,1.12,4.4
sound,3.8642,4.925041719,2.11,1.81,3.7
happens,3.8449,5.840436768,2.58,2,
lives,3.8528,5.66615,2.44,1.96,
save,3.918,5.75977125,2.14,2.05,2.42
taken,3.8495,4.625563333,2.33,2.31,2.66
months,3.9199,5.380923306,2.32,2.13,
serious,3.8789,7.0375,2.58,2.17,2.1
touch,3.8771,5.01225914,2.58,1.95,3.86
bet,3.9427,6.786850538,2.44,1.67,3.1
news,3.9243,6.16,2.43,1.94,3.41
office,4.017,6.83113803,2.32,2,4.93
leaving,3.8581,5.594796875,2.44,2.11,3.25
body,3.9988,4.986851515,2.58,1.92,4.79
dinner,4.0144,3.9439,2.34,1.6,4.5
married,4.0851,6.23,2.58,1.52,2.82
fire,4.041,3.750606774,2.43,1.7,4.68
light,3.9256,4.670701042,2.24,1.98,4.21
perfect,3.9081,6.15030303,2.58,1.96,1.69
special,3.8796,5.644228106,2.32,2.24,1.76
hang,3.8771,5.912808906,2.41,1.89,3.7
luck,3.8944,6.282865625,2.32,1.87,1.33
lucky,3.8643,5.679472727,2.43,1.88,1.76
promise,3.8927,5.932790404,2.43,1.97,2.09
uh,4.5632,,,,
sick,3.9262,4.075495833,2.42,1.81,2.97
weren,3.795,,,,
asking,3.816,3.389583333,2.43,1.95,
sense,3.8276,7.258784677,2.32,2.04,2.61
women,3.9991,4.964725253,2.43,1.7,
order,3.9023,6.77925697,2.18,2.23,2.79
its,3.9424,,,2.34,1.9
fast,3.8458,4.56553,2.43,2.01,3.32
brother,4.1608,3.712746465,2.24,1.7,4.43
game,4.0765,4.41982043,2.25,1.6,4.5
catch,3.8396,5.2027375,2.26,1.88,4.11
sent,3.8475,5.846357069,2.44,2.01,2.6
sort,3.88,7.168369375,2.43,1.95,3.34
himself,3.8555,5.7157,2.44,1.91,3.5
boys,4.0582,2.99590625,2.31,1.55,
alive,3.8965,5.450855076,2.32,1.85,3.14
known,3.7994,4.685077957,2.44,2.24,1.83
died,3.9041,5.110116344,2.33,1.76,
party,4.0752,4.589825253,2.58,1.89,3.89
drive,3.8927,5.536750781,2.43,1.88,3.86
playing,3.876,3.710483594,2.58,1.76,
doctor,4.1291,4.37538798,2.25,1.3,4.69
fight,4.011,5.281102031,2.31,1.83,4.2
kidding,3.834,4.487579462,2.43,1.46,1.82
figure,3.8195,7.510684848,2.33,1.98,3.63
pull,3.8733,5.05059375,2.42,1.88,3.97
throw,3.8176,4.788330208,2.32,1.97,4.04
cool,3.9996,5.050068333,2.58,1.71,3.53
calling,3.8002,4.620230938,2.43,2.09,2.85
unless,3.7634,7.432166212,2.33,2.15,1.54
looked,3.7901,4.208654844,2.33,1.72,
hurry,3.9473,4.973931212,2.58,1.71,2.63
girls,4.0264,3.618905376,2.44,1.47,
past,3.8002,6.534348542,2.33,2.18,1.7
hair,3.8939,3.311377083,2.58,1.49,4.97
takes,3.7772,4.625563333,2.34,2.12,
except,3.7556,8.300339394,2.25,2.15,1.48
top,3.8329,3.867697083,2.35,2.08,3.93
food,3.8964,3.009903226,2.44,1.77,4.8
finally,3.7774,,,2.2,1.67
straight,3.7955,5.585151129,2.44,1.91,2.76
sweet,3.8696,3.949021667,2.34,1.68,4
wonder,3.7758,7.280150152,2.34,1.89,1.8
giving,3.7493,4.096547083,2.58,2.27,2.15
